scenario,region,variables,unit,2019,2050
Extensive reindustrialization - N03,FR,Production|Electricity|Total without production from flexibility,TWh/year,775.2,775.2
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Coal,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Natural gas,TWh/year,0.38020908,0.38020908
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Waste,TWh/year,1.710940858,1.710940858
Extensive reindustrialization - N03,FR,Production|Electricity|Hydro|Reservoir,TWh/year,9.535643718,9.535643718
Extensive reindustrialization - N03,FR,Production|Electricity|Run-of-river hydro,TWh/year,50.06212952,50.06212952
Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,153.2242591,153.2242591
Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,140.867464,140.867464
Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,25.47400834,25.47400834
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Biomass,TWh/year,9.315122452,9.315122452
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,110.925999,110.925999
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,132.5979165,132.5979165
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,102.7515038,102.7515038
Extensive reindustrialization - N03,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,13.1,13.1
Extensive reindustrialization - N03,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|Biomethane,%,100,100
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|CNG,%,0,0
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|LNG,%,0,0
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|Low to high,%,1,1
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Diesel|Biodiesel,%,100,100
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Diesel|Diesel,%,0,0
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Petrol|Bioethanol,%,100,100
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Petrol|Petrol,%,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Electrolysis,TWh/year,0.9,0.9
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Oil refining,TWh/year,1.9,1.9
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Electrolysis,TWh/year,4.9,4.9
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Ammonia,TWh/year,0.5,0.5
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Electrolysis,TWh/year,1,1
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Chlore,TWh/year,0,0
