scenario;region;variables;unit;2019;2040
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Wind turbines|Offshore;TWh/year;71.89493384;71.89493384
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Wind turbines|Onshore;TWh/year;78.86389061;78.86389061
Extensive reindustrialization - N03;FR;Production|Electricity|Storage|Hydro|Pumped storage;TWh/year;10.7;10.7
Extensive reindustrialization - N03;FR;Production|Electricity|Storage|Hydrogen;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Gaseous fuel|Biomethane;%;54;54
Extensive reindustrialization - N03;FR;Production|Gaseous fuel|CNG;%;26.2;26.2
Extensive reindustrialization - N03;FR;Production|Gaseous fuel|LNG;%;19.8;19.8
Extensive reindustrialization - N03;FR;Production|Gaseous fuel|Low to high;%;1;1
Extensive reindustrialization - N03;FR;Production|Liquid fuel|Diesel|Biodiesel;%;56;56
Extensive reindustrialization - N03;FR;Production|Liquid fuel|Diesel|Diesel;%;44;44
Extensive reindustrialization - N03;FR;Production|Liquid fuel|Petrol|Bioethanol;%;56;56
Extensive reindustrialization - N03;FR;Production|Liquid fuel|Petrol|Petrol;%;44;44
Extensive reindustrialization - N03;FR;Production|Hydrogen|Refineries|Electrolysis;TWh/year;2.3;2.3
Extensive reindustrialization - N03;FR;Production|Hydrogen|Refineries|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Refineries|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Refineries|Co-produced|Oil refining;TWh/year;4.9;4.9
Extensive reindustrialization - N03;FR;Production|Hydrogen|Refineries|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Refineries|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Refineries|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Ammonia|Electrolysis;TWh/year;5.5;5.5
Extensive reindustrialization - N03;FR;Production|Hydrogen|Ammonia|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Ammonia|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Ammonia|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Ammonia|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Ammonia|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Ammonia|Co-produced|Ammonia;TWh/year;0.6;0.6
Extensive reindustrialization - N03;FR;Production|Hydrogen|Chemicals|Electrolysis;TWh/year;1;1
Extensive reindustrialization - N03;FR;Production|Hydrogen|Chemicals|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Chemicals|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Chemicals|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Chemicals|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Chemicals|Co-produced|Chemicals;TWh/year;0.6;0.6
Extensive reindustrialization - N03;FR;Production|Hydrogen|Chemicals|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Steel|Electrolysis;TWh/year;2;2
Extensive reindustrialization - N03;FR;Production|Hydrogen|Steel|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Steel|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Steel|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Steel|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Steel|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Steel|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Others|Electrolysis;TWh/year;0.3;0.3
Extensive reindustrialization - N03;FR;Production|Hydrogen|Others|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Others|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Others|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Others|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Others|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Hydrogen|Others|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - N1;FR;Distribution losses|Gaseous fuel|Low to high;PJ/year;0.9975;0.9975
Extensive reindustrialization - N1;FR;Efficiency|Electricity|Hydrogen|Fuel cell;%;50;62
Extensive reindustrialization - N1;FR;Production|Electricity|Low to medium;TWh/year;1;1
Extensive reindustrialization - N1;FR;Production|Electricity|Medium to high;TWh/year;1;1
Extensive reindustrialization - N1;FR;Production|Electricity|Import;TWh/year;6.908296943;6.908296943
Extensive reindustrialization - N1;FR;Consumption|Electricity|Export;TWh/year;74.70829694;74.70829694
Extensive reindustrialization - N1;FR;Production|Electricity|Total without production from flexibility;TWh/year;705.4;705.4
Extensive reindustrialization - N1;FR;Production|Electricity|Conventional|Coal;TWh/year;0;0
